;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
0;1i7x_B;1rkc_B;0;-;-;-;-;-1.0
1;1i7x_B;1i7x_B;0;-;-;-;-;-1.0
2;1i7x_B;1rkc_A;0;-;-;-;-;-1.0
3;1i7x_B;1ydi_A;0;-;-;-;-;-1.0
4;1rkc_B;1rkc_B;0;-;-;-;-;-1.0
5;2zl1_B;3c5j_A;0;-;-;-;-;-1.0
6;3bc1_E;3bc1_E;0;-;-;-;-;-1.0
7;2zl1_B;2zl1_B;0;-;-;-;-;-1.0
8;3bc1_B;3bc1_B;0;-;-;-;-;-1.0
9;3c66_A;3c66_A;0;-;-;-;-;-1.0
10;1mhw_C;2zl1_B;0;-;-;-;-;-1.0
11;1mhw_C;3c5j_A;0;-;-;-;-;-1.0
12;1mhw_A;2djg_A;0;-;-;-;-;-1.0
13;1mhw_A;2djg_B;0;-;-;-;-;-1.0
14;1mhw_A;2djg_C;0;-;-;-;-;-1.0
15;1mhw_A;2zl1_B;0;-;-;-;-;-1.0
16;1mhw_A;3c5j_A;0;-;-;-;-;-1.0
17;1mhw_C;2djg_A;0;-;-;-;-;-1.0
18;1mhw_C;2djg_B;0;-;-;-;-;-1.0
19;1mhw_C;2djg_C;0;-;-;-;-;-1.0
20;1mhw_C;1mhw_C;0;-;-;-;-;-1.0
21;1i7x_A;1i7x_A;1;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_1.pdb;21.04536098735909
22;3c5j_A;3c5j_A;1;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_1.pdb;30.394792910002028
23;1vyh_C;1vyh_C;0;-;-;-;-;-1.0
24;1i7x_A;1i7x_A;2;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_2.pdb;24.24328896987881
25;1ya5_A;1ya5_A;1;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_1.pdb;20.96603842740672
26;1i7x_C;1i7x_C;1;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_1.pdb;23.789786070141826
27;3c5j_A;3c5j_A;2;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_2.pdb;30.39478939777432
28;1ya5_A;1ya5_A;2;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_2.pdb;20.96603842740672
29;1i7x_A;1i7x_A;3;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_3.pdb;21.045357928531768
30;1i7x_C;1i7x_C;2;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_2.pdb;23.789791181795152
31;3c5j_A;3c5j_A;3;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_3.pdb;30.394788136094
32;1ya5_A;1ya5_A;3;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_3.pdb;20.96603842740672
33;2djg_A;2djg_A;1;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_1.pdb;9.521066824948468
34;1i7x_A;1i7x_A;4;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_4.pdb;24.24328896987881
35;2c0l_A;2c0l_A;1;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_1.pdb;14.04622340319513
36;3c5j_A;3c5j_A;4;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_4.pdb;6.894451014739862
37;2djg_A;2zl1_B;0;-;-;-;-;-1.0
38;1i7x_C;1i7x_C;3;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_3.pdb;23.789794441197127
39;2djg_A;2djg_B;1;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_1.pdb;0.23506032496141316
40;2djg_A;3c5j_A;0;-;-;-;-;-1.0
41;1ya5_A;1ya5_A;4;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_4.pdb;20.96603842740672
42;2djg_A;2djg_A;2;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_2.pdb;5.509031413119969
43;1rkc_A;1rkc_B;1;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_1.pdb;0.9566233953273113
44;2c0l_A;2c0l_A;2;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_2.pdb;11.69731330211331
45;1i7x_A;1i7x_A;5;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_5.pdb;24.24328896987881
46;2djg_B;2zl1_B;0;-;-;-;-;-1.0
47;2djg_B;3c5j_A;0;-;-;-;-;-1.0
48;2djg_A;2djg_B;2;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_2.pdb;0.23506757507905876
49;1i7x_C;1i7x_C;4;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_4.pdb;23.789789378546477
50;2djg_A;2djg_A;3;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_3.pdb;5.5090199805753866
51;1rkc_A;1rkc_B;2;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_2.pdb;0.9566233953273113
52;2c0l_A;2c0l_A;3;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_3.pdb;15.482340117692983
53;2djg_A;2djg_B;3;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_3.pdb;0.23504704429098974
54;2djg_A;2djg_A;4;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_4.pdb;7.504431920548849
55;1rkc_B;1ydi_A;1;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_1.pdb;2.228864863556249
