;Rec;Lig;negatome;hippie_value;Rec_nRes;Lig_nRes;Rec_clustID;Lig_clustID;Inter_70;Inter_90;Rec_expr_70;Lig_expr_70;n_inter_res_rec_70;n_inter_res_lig_70;n_cont_comp_70;Rec_expr_90;Lig_expr_90;n_inter_res_rec_90;n_inter_res_lig_90;n_cont_comp_90;nPoses;nPoseClust;nHighPose_lRMSD_70;nMediumPose_lRMSD_70;nAcceptablePose_lRMSD_70;nIncorrectPose_lRMSD_70;nHighPose_lRMSD_90;nMediumPose_lRMSD_90;nAcceptablePose_lRMSD_90;nIncorrectPose_lRMSD_90;min_lRMSD_70;max_lRMSD_70;min_lRMSD_90;max_lRMSD_90;nHighPose_iRMSD_70;nMediumPose_iRMSD_70;nAcceptablePose_iRMSD_70;nIncorrectPose_iRMSD_70;nHighPose_iRMSD_90;nMediumPose_iRMSD_90;nAcceptablePose_iRMSD_90;nIncorrectPose_iRMSD_90;min_iRMSD_70;max_iRMSD_70;min_iRMSD_90;max_iRMSD_90;nHighPose_fnat_70;nMediumPose_fnat_70;nAcceptablePose_fnat_70;nIncorrectPose_fnat_70;nHighPose_fnat_90;nMediumPose_fnat_90;nAcceptablePose_fnat_90;nIncorrectPose_fnat_90;min_fnat_70;max_fnat_70;min_fnat_90;max_fnat_90;nOkPose_intcov_70;nBadPose_intcov_70;min_intcov_70;max_intcov_70;nOkPose_intcov_90;nBadPose_intcov_90;min_intcov_90;max_intcov_90;deformation_rmsd_lig_70;deformation_rmsd_rec_70;deformation_rmsd_lig_90;deformation_rmsd_rec_90;howmanyxray
0;3bc1_E;3bc1_E;False;-1.0;175;175;16;16;True;False;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;65;61;1875;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;18.168186238436565;18.057740861438116;-1.0;-1.0;0
1;2djg_A;2djg_A;False;0.75;114;114;3422;3422;True;True;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;5;5;46;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;5;5;46;11007;0;0;0;0;11007;0;0;0;11007;10.3143;210.425;10.3143;210.425;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;5.636845994738031e-15;7.1046512547129846e-15;5.636845994738031e-15;7.1046512547129846e-15;0
2;2djg_A;2djg_B;False;0.75;114;161;3422;3452;True;True;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;21;21;536;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;21;21;536;17372;0;0;0;0;17372;0;0;0;17372;11.2787;1023.83;11.2787;1023.83;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;5.636845994738031e-15;1.1650095491040329e-14;5.636845994738031e-15;1.1650095491040329e-14;0
3;2djg_B;2djg_B;False;0.75;161;161;3452;3452;True;True;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;1;1;31;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;1;1;31;29493;0;0;0;0;29493;0;0;0;29493;10.5846;1045.34;10.5846;1045.34;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;9.452771633036789e-15;8.632354484492015e-15;9.452771633036789e-15;8.632354484492015e-15;0
4;1ya5_A;1ya5_A;False;-1.0;198;198;5287;5287;True;True;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;2;2;7;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;2;2;7;63734;0;0;0;0;63734;0;0;0;63734;10.1683;1031.02;10.1683;1031.02;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.9434211961344242e-14;0.8799310860077068;1.9434211961344242e-14;0.8799310860077068;0
5;2djg_C;2djg_C;False;0.75;68;68;3066;3066;True;True;2djg_0_1_C_4.pdb;2djg_0_1_C_2.pdb;1;1;24;2djg_0_1_C_4.pdb;2djg_0_1_C_2.pdb;1;1;24;45003;0;0;0;0;45003;0;0;0;45003;17.0316;1042.84;17.0316;1042.84;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;5.145596263719186e-15;1.7961750769598254e-14;5.145596263719186e-15;1.7961750769598254e-14;0
6;2djg_B;2djg_C;False;0.75;161;68;3452;3066;True;True;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;75;59;2121;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;75;59;2121;36594;0;0;0;0;36594;0;0;0;36594;15.9387;1011.26;15.9387;1011.26;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;7.458922877736282e-15;8.950179787594127e-15;7.458922877736282e-15;8.950179787594127e-15;0
7;2djg_A;2djg_C;False;0.75;114;68;3422;3066;True;True;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;8;9;178;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;8;9;178;21280;0;0;0;4;21276;0;0;4;21276;5.84987;1007.86;5.84987;1007.86;0;0;3;1;0;0;3;1;2.707663151975373;6.651179617916103;2.707663151975373;6.651179617916103;0;0;1;3;0;0;1;3;0.016853932584269662;0.10674157303370786;0.016853932584269662;0.10674157303370786;0;21280;0.06666666666666667;0.4444444444444444;0;21280;0.06666666666666667;0.4444444444444444;5.636845994738031e-15;8.500796174225292e-15;5.636845994738031e-15;8.500796174225292e-15;0
8;3c5j_A;3c5j_A;False;-1.0;178;178;198;198;True;True;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;14;14;124;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;14;14;124;39178;0;0;0;3;39175;0;0;3;39175;8.036610000000001;1044.4;8.036610000000001;1044.4;0;0;0;3;0;0;0;3;5.793980455083441;7.766971939100701;5.793980455083441;7.766971939100701;0;0;0;3;0;0;0;3;0.03225806451612903;0.04838709677419355;0.03225806451612903;0.04838709677419355;0;39178;0.26666666666666666;0.28888888888888886;0;39178;0.26666666666666666;0.28888888888888886;9.42096286957575e-15;1.5471174470441492e-14;9.42096286957575e-15;1.5471174470441492e-14;0
9;1ck4_A;1ck4_A;False;-1.0;193;193;385;385;True;True;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;4738;0;0;0;0;4738;0;0;0;4738;22.3018;1038.08;22.3018;1038.08;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;0.4881826110501733;0.5681310526777335;0.4881826110501733;0.5681310526777335;0
