;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
0;1i7x_B;1i7x_B;0;-;-;-;-;-1.0
1;1i7x_B;1rkc_B;0;-;-;-;-;-1.0
2;1i7x_B;1rkc_A;0;-;-;-;-;-1.0
3;1i7x_B;1ydi_A;0;-;-;-;-;-1.0
4;1rkc_B;1rkc_B;0;-;-;-;-;-1.0
5;2zl1_B;3c5j_A;0;-;-;-;-;-1.0
6;2zl1_B;2zl1_B;0;-;-;-;-;-1.0
7;3bc1_B;3bc1_B;0;-;-;-;-;-1.0
8;1rkc_A;1rkc_B;1;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_1.pdb;0.6181549899089178
9;1rkc_B;1ydi_A;1;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_1.pdb;11.26917139570822
10;1i7x_A;1i7x_A;1;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_1.pdb;58.24021602883679
11;3c66_A;3c66_A;0;-;-;-;-;-1.0
12;1rkc_A;1rkc_B;2;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_2.pdb;0.6181549899089178
13;1mhw_C;2zl1_B;0;-;-;-;-;-1.0
14;1rkc_B;1ydi_A;2;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_2.pdb;11.269206815437252
15;1mhw_C;3c5j_A;0;-;-;-;-;-1.0
16;3bc1_E;3bc1_E;1;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_1.pdb;21.892125385042373
17;1rkc_B;1ydi_A;3;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_3.pdb;11.2691481476964
18;1rkc_A;1rkc_B;3;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_3.pdb;0.6181590883022774
19;3c5j_A;3c5j_A;1;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_1.pdb;52.705534642773735
20;1mhw_A;2djg_A;0;-;-;-;-;-1.0
21;3bc1_B;3bc1_E;1;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_1.pdb;37.78007919549163
22;1i7x_C;1i7x_C;1;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_1.pdb;58.9201038600307
23;1i7x_A;1i7x_A;2;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_2.pdb;56.53341323249771
24;1mhw_A;2djg_B;0;-;-;-;-;-1.0
25;1rkc_A;1rkc_B;4;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_4.pdb;0.6181619164341783
26;1mhw_A;2djg_C;0;-;-;-;-;-1.0
27;1rkc_B;1ydi_A;4;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_4.pdb;7.2228848482227574
28;3bc1_E;3bc1_E;2;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_2.pdb;21.89206978318357
29;3c5j_A;3c5j_A;2;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_2.pdb;52.70554119907856
30;3bc1_B;3bc1_E;2;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_2.pdb;29.16443635255296
31;1mhw_A;2zl1_B;0;-;-;-;-;-1.0
32;1mhw_A;3c5j_A;0;-;-;-;-;-1.0
33;1rkc_B;1ydi_A;5;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_5.pdb;7.22287707334179
34;1rkc_A;1rkc_B;5;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_5.pdb;0.6181549899089178
35;3c5j_A;3c5j_A;3;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_3.pdb;52.705550193957706
36;1mhw_C;1mhw_C;0;-;-;-;-;-1.0
37;3bc1_B;3bc1_E;3;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_3.pdb;29.16443635255296
38;3bc1_E;3bc1_E;3;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_3.pdb;21.892043595015895
39;1mhw_C;2djg_A;0;-;-;-;-;-1.0
40;1i7x_C;1i7x_C;2;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_2.pdb;58.92010631155683
41;1i7x_A;1i7x_A;3;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_3.pdb;58.24021609873133
42;1rkc_B;1ydi_A;6;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_6.pdb;11.269155601353148
43;1mhw_C;2djg_B;0;-;-;-;-;-1.0
44;1rkc_A;1rkc_B;6;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_6.pdb;0.6181549899089178
45;3bc1_B;3bc1_E;4;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_4.pdb;34.82446756676071
46;3c5j_A;3c5j_A;4;3c5j_0_2_A_2.pdb;3c5j_0_2_A_1.pdb;3c5j_A.pdb;3c5j_A_4.pdb;34.85392411302546
47;3byh_A;3byh_A;1;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_1.pdb;23.70182449947393
48;3bc1_E;3bc1_E;4;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_4.pdb;25.153183671035173
49;1mhw_C;2djg_C;0;-;-;-;-;-1.0
50;1rkc_B;1ydi_A;7;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_7.pdb;7.222891726927445
51;1rkc_A;1rkc_B;7;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_7.pdb;0.6181549899089178
52;3bc1_B;3bc1_E;5;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_5.pdb;37.78018455096328
53;1vyh_C;1vyh_C;0;-;-;-;-;-1.0
54;1rkc_B;1ydi_A;8;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_8.pdb;11.269160000920822
55;1i7x_C;1i7x_C;3;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_3.pdb;58.92010566055538
56;3bc1_E;3bc1_E;5;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_5.pdb;25.494518803095563
57;3bc1_B;3bc1_E;6;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_6.pdb;34.82447798527833
58;1i7x_A;1i7x_A;4;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_4.pdb;56.53341293665497
59;1rkc_A;1rkc_B;8;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_8.pdb;0.6181476446314252
60;3byh_A;3byh_A;2;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_2.pdb;25.15789389433241
61;1rkc_B;1ydi_A;9;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_9.pdb;7.222878788959425
62;3bc1_B;3bc1_E;7;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_7.pdb;29.16443635255296
63;3bc1_E;3bc1_E;6;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_6.pdb;28.02922259976056
